,low_z,high_z,u-g,g-r,r-i,i-z,z-y
61,3.05,3.1,2.0759999752044678,0.3070000112056732,0.06300000101327896,0.07900000363588333,-0.047
62,3.1,3.15,2.246999979019165,0.32499998807907104,0.07599999755620956,0.07800000160932541,-0.074
63,3.15,3.2,2.4040000438690186,0.3400000035762787,0.08699999749660492,0.07100000232458115,-0.075
64,3.2,3.25,2.5910000801086426,0.36500000953674316,0.09300000220537186,0.05900000035762787,-0.083
65,3.25,3.3,2.628999948501587,0.4169999957084656,0.10300000011920929,0.054999999701976776,-0.098
66,3.3,3.35,2.7829999923706055,0.460999995470047,0.11100000143051147,0.09000000357627869,-0.096
67,3.35,3.4,2.930000066757202,0.5609999895095825,0.13899999856948853,0.10400000214576721,-0.15
68,3.4,3.45,2.9040000438690186,0.6620000004768372,0.17900000512599945,0.12099999934434891,-0.18
69,3.45,3.5,3.0260000228881836,0.7900000214576721,0.20200000703334808,0.08500000089406967,-0.199
70,3.5,3.55,3.078000068664551,0.8870000243186951,0.1770000010728836,0.07999999821186066,-0.212
71,3.55,3.6,2.9839999675750732,0.9959999918937683,0.15800000727176666,0.05299999937415123,-0.27
72,3.6,3.65,2.7290000915527344,1.0870000123977661,0.1289999932050705,0.07000000029802322,-0.276
73,3.65,3.7,2.632999897003174,1.1540000438690186,0.11299999803304672,0.06499999761581421,-0.271
74,3.7,3.75,2.6610000133514404,1.2059999704360962,0.11900000274181366,0.0820000022649765,-0.265
75,3.75,3.8,2.697000026702881,1.2419999837875366,0.10599999874830246,0.06199999898672104,-0.289
76,3.8,3.85,2.63100004196167,1.2910000085830688,0.12600000202655792,0.09600000083446503,-0.262
77,3.85,3.9,2.742000102996826,1.305999994277954,0.1509999930858612,0.1120000034570694,-0.302
78,3.9,3.95,2.6679999828338623,1.3589999675750732,0.1550000011920929,0.09200000017881393,-0.249
79,3.95,4.0,2.4159998893737793,1.406000018119812,0.1720000058412552,0.11900000274181366,-0.291
80,4.0,4.05,2.3989999294281006,1.4550000429153442,0.21699999272823334,0.12999999523162842,-0.198
81,4.05,4.1,2.559000015258789,1.5169999599456787,0.2290000021457672,0.10000000149011612,-0.21
82,4.1,4.15,2.3589999675750732,1.5789999961853027,0.23800000548362732,0.07400000095367432,-0.188
83,4.15,4.2,2.2739999294281006,1.7970000505447388,0.3240000009536743,0.1550000011920929,-0.101
